127.0.0.1 - - [04/Feb/2020:18:16:12 +0100] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/index HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/js/freelancer.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/vendor/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 56517
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/css/freelancer.min.css HTTP/1.1" 200 172644
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:16:23 +0100] "GET /terminali/static/img/portfolio/cake.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:17:14 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:17:14 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32596
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:19:16 +0100] "POST /terminali/scollegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:19:16 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:19:19 +0100] "POST /terminali/collegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:19:20 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:20:22 +0100] "POST /terminali/scollegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:20:22 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32413
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:20:28 +0100] "POST /terminali/collegaOperatore HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:20:28 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:22:44 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:22:44 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32582
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:22:58 +0100] "POST /terminali/collegaMacchina HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [04/Feb/2020:18:22:58 +0100] "GET /terminali/index?basePath=terminali HTTP/1.1" 200 32765
